,Category,Note
297,household,toiletries handwash container2 + window cleaner
298,transportation,bike mall parking
299,subscription,mahanagar gas 
300,food,lunch home food delivery
301,food,milk milk 1lit 
305,household,kirana supermart
306,food,milk milk 1lit 
307,food,snacks bhaji + vadapav
308,food,fruits mango 1.5 kg
309,food,milk milk 1lit 
310,health,medicine itone eye drops
311,health,medicine refresh tears drop
316,food,snacks 6 kachori
317,household,kirana supermart
318,subscription,tata sky current residence - tata play recharge
319,food,biscuits toast packet
320,food,milk milk 1lit 
322,food,beverage 2 sugarcane juice
324,food,dinner home food delivery
326,household,kirana supermart
327,food,snacks noodles packet
328,food,milk milk 1lit 
330,food,lunch catering service
331,subscription,tata sky permanent residence - tata play recharge
332,household,kirana idli pith 1kg
334,food,vegetables 
335,household,kirana supermart
336,food,milk milk 1lit 
337,food,ice cream naturals
338,food,curd dahi 2 packets
339,food,dinner sugaran kitchen
340,household,kitchen flour mill
341,food,eggs 6 eggs
342,food,milk milk 1lit 
343,food,milk milk 1lit 
345,shopping,laundry clothes ironing
346,household,kirana cockroach injection
347,household,kirana supermart
348,household,kirana smart point
349,food,snacks pav bhaji
350,food,tea 2 cutting chai
351,household,"kitchen vessels for sugar, coffee and tea"
353,transportation,bike station parking
354,transportation,train place 0 to place 4 return
355,food,lunch catering service
356,household,kirana supermart
357,food,grocery pizza base packet 2
358,food,biscuits khari packet
359,food,milk milk 1lit 
360,health,lab tests family thyroid test + cbc
363,subscription,netflix 
364,household,kirana 
365,food,snacks pattice
366,food,lunch catering service
367,food,breakfast bread
368,food,lunch catering service
370,food,grocery ginger
371,food,milk milk 1lit 
372,household,kirana supermart
373,household,kirana pav kg chana dal
374,food,milk half lit  milk
377,household,kirana idli pith 1kg
378,food,eggs 6 eggs
379,food,milk milk 1lit 
380,food,lunch catering service
383,transportation,bike mall parking
384,household,hardware window cleaner
385,food,grocery pav kg lahsoon
386,food,curd dahi 2 packets
387,food,onions onion 2 kg
393,food,milk milk 1lit 
395,food,ice cream 2 chocobar
396,food,dinner home food delivery
398,food,lunch domino's pizza
399,transportation,bike station parking
401,transportation,train place 0 to sion returns
402,food,snacks 1 panipuri
403,food,vegetables ginger + green chilli
404,food,milk milk 1lit 
405,food,dinner at restaurant
406,food,breakfast bread
407,food,milk milk 1lit 
408,subscription,tata sky permanent residence - tata play recharge
410,transportation,bike station parking
411,food,snacks popcorn family pack
412,food,tea 2 tea
413,food,snacks 2 frankie
414,food,snacks french crossiant
415,food,tea ikea tea 3
416,entertainment,books finding next job
417,food,flour mill 1 kg bajari
418,food,vegetables half kg tomato
419,household,kirana supermart
420,food,snacks pickle
421,food,snacks potato chips
422,food,rajgira ladu 1 packet
423,food,milk milk 1lit 
424,food,snacks 2 kachori
425,household,kirana idli pith 1kg
427,food,dinner 2 fried rice
429,food,snacks chicken lollypop 8 pcs
430,food,breakfast bread
431,food,eggs 6 eggs
432,food,milk half lit  milk
433,transportation,bike station parking
434,food,snacks dabeli
437,food,snacks papad packet
438,food,snacks 1 panipuri
439,food,tea cutting chai
440,transportation,train place 0 to place 4 return
441,food,lunch catering service
442,food,milk half lit  milk
443,food,lunch catering service
444,food,milk half lit  milk
445,household,kirana mayonnaise + cheese cubes
446,food,onions onion 2 kg
447,food,dinner domino's pizza
450,food,milk half lit  milk
453,transportation,train 2 place 3 to place 2 : sevagram express 3ac
454,household,hardware mosquito racket
455,health,health all out refill
456,food,milk 1 lit 
457,food,milk half lit  milk
458,shopping,laundry clothes ironing
459,food,bread flatbread 12 pcs
461,subscription,mahanagar gas 
462,food,eggs 6 eggs
463,food,milk half lit  milk
465,entertainment,holi holi tip to cleaner
466,food,snacks 2 vadapav
467,health,medicine thyroid tablets
468,health,medicine 5 meftal spas
471,food,milk half lit  milk
474,food,ice cream chocobar
475,food,flour mill m d sure 3kg atta
476,household,kirana supermart
477,household,kirana smart point
480,food,lunch catering service
482,food,milk half lit  milk
483,food,ice cream chocobar
484,food,dinner domino's pizza
485,food,eggs 6 eggs
489,food,biscuits khari packet
490,food,milk half lit varna milk
491,food,onions onion 1 kg
492,food,potato potato 1kg
494,household,kirana idli pith 1kg
495,food,lunch 5 chapati
496,food,milk 1 lit 
497,household,toiletries mirror repair
498,transportation,bike first servicing
499,food,beverage chaas
500,food,bread flatbread 12 pcs
501,health,medicine refresh tears drop
502,food,rajgira ladu 1 packet
503,food,milk 1 lit 
504,subscription,tata sky permanent residence - tata play recharge
505,food,beverage limca
506,food,onions onion 1 kg
507,food,lunch catering service
509,household,appliances kitchen fan + installation+ repair
511,shopping,grooming hair cut+shaving
512,food,milk 1 lit 
513,food,snacks 2 kachori
514,food,dinner bbq
516,transportation,bike mall parking
517,food,lunch 5 chapati
518,food,snacks banana chips
519,food,biscuits khari packet
520,food,milk 1 lit 
521,food,ice cream chocobar
522,food,grocery half kg tomato + methi 1 judi
523,household,kirana supermart
524,food,snacks 1 chicken shawarma
525,food,potato potato 1kg
526,food,bread bread
527,food,grocery amul cheese
528,food,milk 1 lit 
531,food,eggs 6 eggs
532,food,curd 3 packets
533,food,flour mill m d sure 3kg atta
534,transportation,auto 2 place 0 to current residence
535,food,dinner pav bhaji
536,food,snacks vadapav
537,transportation,train place 0 to place 3 returns
538,transportation,auto current residence to place 0
540,food,milk 1 lit 
541,shopping,laundry clothes ironing
542,food,snacks shev puri
543,food,onions onion 1 kg
544,food,milk 1 lit 
546,entertainment,movie 2 pvr place 6
548,food,grocery raw chicken half kg
549,food,biscuits khari packet
550,food,milk 1 packet
551,food,dinner domino's pizza
552,food,lunch catering service
553,food,milk half lit  milk
554,food,ice cream chocobar
555,transportation,travels place 2 to place 1 - shree sharma travels
557,food,lunch catering service
561,food,fruits 8 bananas
562,food,vegetables half kg tomato
568,food,dinner at restaurant
569,transportation,bike parking sticker
571,food,milk 1 lit 
572,household,kitchen matchbox packet 10pcs
573,food,grocery dahi 2 packets
576,food,biscuits khari packet
577,food,eggs 6 eggs
578,food,milk 1 lit 
579,food,snacks 2 kachori
580,household,kirana smart point
581,household,kirana supermart
582,transportation,bike two wheeler bikedelux third installment
584,transportation,auto place 0 to current residence
585,transportation,train place 0 to place 4 return
586,shopping,clothing pyjama (999)+ carry bag (10)
587,food,rajgira ladu 1 packet
588,food,milk 1 lit 
589,food,potato potato 1kg
590,household,kirana idli pith 1kg
591,food,lunch catering service
593,food,milk half lit  milk
594,household,kirana smart point
595,food,flour mill 2 kg bajari
596,food,flour mill m d sure 3kg atta
597,health,medicine cough-sills 4 pcs + sinarest 3 pcs
598,food,milk 1 lit 
599,food,dinner home food delivery
601,food,biscuits crack-jack 1 packi
602,food,bread 
603,subscription,tata sky permanent residence - tata play recharge
604,food,bread flatbread 6 pcs
605,household,kirana amul butter
606,food,bread flatbread 6 pcs
607,household,kirana cakes
608,transportation,bike two wheeler bikedelux second installment
609,food,lunch fresh veggie pizza
610,food,eggs 6 eggs
611,food,milk 1 lit 
612,household,kirana bhagar 1kg 130 + idli pith 1kg 35
613,food,milk 1 lit 
615,food,sweets chitale srikhand
616,food,grocery onion 1 kg + half kg potato
617,transportation,train place 0 to place 3 returns
618,transportation,auto uber auto: place 4 station to current residence society
619,transportation,train place 0 to santacruz return
620,household,hardware vibrating electronic message tool
621,transportation,auto station to decathlon
622,transportation,auto decathlon to station
623,shopping,clothing head band
624,transportation,auto pali hill to bandra station
625,transportation,auto mumbai university kalina to santacruz station
626,transportation,auto current residence to place 0
627,health,medicine thyroid tablets
628,shopping,laundry clothes ironing
631,household,kirana smart point
632,health,lab tests family thyroid test
635,food,eggs 6 eggs
636,food,milk 1 lit 
637,food,rajgira ladu 2 packets
638,food,bread flatbread 12 pcs
639,food,milk 1 lit 
640,food,snacks vadapav
642,household,hardware sony wi-c100 earphones wireless
643,food,flour mill m d sure 2kg atta
644,household,kirana harpik 1l
645,food,tea 2 cutting chai
646,transportation,train place 0 to place 4 return
648,subscription,mahanagar gas 
649,household,kirana idli pith 1kg
650,household,appliances 5 litres can distilled water
651,food,curd 2 cups
652,food,milk 1 lit 
654,household,kirana cockroach injection
655,household,kirana nandadip oil bottle
656,food,lunch catering service
662,food,dinner wok express + domino's
663,transportation,bike two wheeler bikedelux booking amount
664,food,eggs 6 eggs
665,food,milk 1 lit 
666,household,kirana supermart
667,health,medicine refresh tears drop
668,subscription,amazon prime amazon pay cashback 1017 + rs.482
669,food,ice cream raspberry dolly
670,household,gadgets logitech mouse
671,food,milk 1 lit 
676,food,bread flatbread 24 pcs
679,food,vegetables dudhi 20 + mirchi 5
681,food,snacks 3 pavwada
682,household,kirana 
683,food,flour mill 
684,subscription,mobile service provider data booster pack
685,food,vegetables ginger
686,food,grocery tata salt 28+ 6 eggs 42
689,subscription,"newspaper et prime (1+1) till 24 dec,2024"
690,subscription,tata sky permanent residence - tata play recharge
691,subscription,mobile service provider data booster pack
692,transportation,auto place 2 station to permanent residence
693,transportation,auto 2 current residence to place 0
695,food,snacks gupta bhel
696,household,toiletries toothbrush (buy 2 get 1)
697,food,milk half lit  milk
699,food,lunch home food delivery
701,food,snacks vadapav
702,household,kirana surti kolam 2kg (54rsx2)+monaco biscuits
703,food,lunch catering service
704,food,milk milk 1lit 
705,food,lunch catering service
706,subscription,edtech course renewal
709,food,snacks chicken frankie
711,transportation,train place 0 to ws return
712,food,milk milk 1lit 
713,shopping,clothing undergarment single
714,food,dinner at restaurant
715,transportation,auto within city
716,household,kirana dmart
717,food,tea 2 cutting chai
718,transportation,auto college to inorbit
719,transportation,train place 0 to place 4 return
720,transportation,auto current residence to place 0
721,food,milk milk 1lit 
723,food,ice cream chocobar
725,food,grocery paneer + 1 kg onion
726,shopping,laundry clothes ironing
728,food,milk milk 1lit 
729,food,eggs 6 eggs
730,food,snacks double chicken shwarma
731,food,lunch catering service
733,food,vegetables 
734,food,fruits 
735,food,snacks gupta bhel
736,food,lunch catering service
737,food,lunch catering service
738,food,dinner home food delivery - roti 17*4+ paneer chatpata 190+ veg crispy 150
739,food,milk milk 1lit 
741,food,lunch catering service
742,subscription,tata sky current residence - tata play recharge
743,subscription,edtech course 
745,household,kirana smart point
746,household,kirana supermart
747,food,fruits 
750,food,bread 
751,food,snacks amul butter
752,food,milk milk 1lit 
753,subscription,newspaper 
754,food,snacks shev puri
755,food,lunch home food delivery - chicken lollypop 8 pcs 190 + chicken manchow soup 100
757,shopping,grooming hair cut+shaving
758,food,ice cream chocobar
759,food,milk milk 1lit 
760,food,lunch catering service ( 5 methi paranthe)
762,food,milk 1 lit 
769,health,medicine 5 meftal spas
770,health,health glasses remaining
771,health,health family's glasses
776,food,bread sweet bread cake pav kg
777,food,eggs 6 eggs
778,food,bread 
779,household,kirana toast+ biscuits
780,food,vegetables 
781,food,milk 1 lit 
782,health,health glasses advance
784,transportation,auto 2 place 0 to current residence
785,transportation,auto place 6 station to  mall
786,transportation,train 1 place 0 to place 6
787,shopping,footwear sandals hush puppies
789,transportation,auto eye institute to place 6 station
790,health,medicine eye drop
791,transportation,auto place 6 station to eye institute
792,health,"hospital routine checkup - eye institute, place 6"
793,transportation,train 1 place 0 to place 6 return
794,subscription,tata sky permanent residence - tata play recharge
795,food,milk 1 lit 
796,shopping,laundry clothes ironing : rs 6 per item
797,food,vegetables half kg tomato
798,entertainment,movie 2 pvr place 6
799,food,bread flatbread 8 pcs
800,food,grocery dahi + remaining balance
801,food,flour mill 3 kg bajari
802,food,milk 1 lit 
805,food,milk milk 1lit 
807,food,snacks 1 panipuri
808,transportation,auto 2 place 0 to current residence
809,transportation,train 2 place 0 to place 6 return
810,transportation,auto 2 current residence to place 0
811,entertainment,movie 2 pvr place 6
812,household,kirana khobra + shengdana+ vim bar
813,food,eggs 6 eggs
814,subscription,mahanagar gas 
816,food,milk 1.5 lit milk 
817,food,ice cream vanila family pack
818,household,kirana agarbatti 55 + dahi 25
819,food,flour mill 4 kg gehu
820,food,milk 1 lit 
821,food,dinner home food delivery
822,household,kirana toast 55 + kisan jam 85 + all out 75
824,food,bread brown bread
825,household,kirana amul butter 52 + good day biscuits 43
826,food,fruits 
828,food,grocery vegetables
829,household,kirana pani puri packet + bundi + chivda
830,food,milk milk 1lit varna
831,food,grocery onion 1 kg + half kg potato
832,household,kirana maggie + lizol
833,food,grocery shev bhaji sev pav kg
834,transportation,auto 2 place 0 to current residence
835,food,dinner at restaurant
836,food,tea 
837,household,appliances usb cord
838,household,appliances screwdriver 2
840,transportation,auto place p station to alfa market
841,transportation,train place 4 station to place p return
842,transportation,train place 0 to place p return
843,food,eggs 6 eggs
844,food,milk half lit  milk
846,shopping,laundry clothes ironing : rs 6 per item
847,household,toiletries colgate max fresh small
848,household,kirana 
849,health,medicine acne star cream
850,food,lunch bhendi bhaji
851,food,milk 1 lit 
852,household,kirana 
854,food,fruits 1 kg apple
855,food,milk 1 lit 
857,food,eggs 6 eggs
858,transportation,auto place 0 to current residence
859,subscription,tata sky current residence - tata play recharge
862,subscription,edtech course 
863,food,snacks 2 pavwada
865,subscription,mobile service provider mobile service provider freedom pack
871,subscription,mobile service provider mobile service provider freedom pack
872,subscription,mobile service provider mobile service provider freedom pack
873,subscription,hotstar subscription 1yr
874,transportation,auto permanent residence to bus stand
875,transportation,auto within city
876,entertainment,diwali offering
877,entertainment,diwali offering
878,entertainment,diwali offering
880,subscription,mobile service provider mobile service provider freedom pack
881,food,snacks dahi
882,household,toiletries shampoo sachets
883,shopping,footwear slippers
884,entertainment,diwali aakash kandil
885,household,toiletries dettol liquid handwash refill
886,household,kitchen flour mill
887,household,kirana 
888,subscription,tata sky permanent residence - tata play recharge
889,transportation,auto current residence to place 1 bus stop highway
892,food,grocery onion half kg 13 + milkybar 10 + colgate maxfresh 10
895,entertainment,diwali rangoli + stamp
896,food,snacks gupta bhel
897,transportation,train 2 place 2 to place 3 : sevagram express 3ac
898,transportation,train 2 place 3 to place 2 : amritsar express 3ac
902,transportation,train place 2 to place 3 sevagram
903,household,kitchen flour mill
906,food,fruits 
907,food,grocery vegetables
908,subscription,wifi internet service 1 year plan (40mbps + ul+ 3 months free)
912,health,medicine 
915,subscription,edtech course 
916,health,medicine boroline + band aid
918,household,kirana supermart
920,subscription,hotstar 3 months subscription mobile
925,health,medicine candid dusting powder
926,household,kirana supermart
927,food,grocery vegetables
928,food,grocery vegetables
929,household,kitchen cooktop installation+ base
932,shopping,laundry clothes ironing : rs 6 per item
933,food,snacks gupta bhel
934,food,ice cream vanila cup
935,health,medicine 3 tablet nor tz
936,subscription,tata sky current residence - tata play recharge
937,transportation,travels 2 place 1 to place 2 - novelty tour and travels
938,household,kirana 
941,food,fruits half kg chiku
942,food,fruits apple 2 kg (110) + banana 1kg (80)
943,transportation,auto 2 place 0 to current residence
944,transportation,train place 0 to ws return
945,entertainment,movie 2
946,food,sweets half kg pedhe
947,shopping,grooming hair cut
948,food,dinner chicken masala gravy
951,transportation,auto place 0 to current residence
952,food,snacks vadapav
953,food,tea 
954,transportation,train place 0 to dadar return
956,health,health surgical gloves pair
959,health,medicine 
960,food,fruits half kg chiku
961,food,fruits nariyal
962,household,kirana 
963,health,medicine 
964,household,kirana supermart
965,food,bread 
966,food,milk 1.5 lit milk 
967,food,dinner sugaran kitchen
968,food,lunch 
969,food,fruits nariyal
970,health,medicine 
971,health,hospital doctor fees
972,transportation,travels 2 place 2 to place 1 - novelty tour and travels
973,food,tea 2 tea parcel
974,food,breakfast 2 plates poha
975,food,milk milk 1lit 
976,food,lunch 
977,subscription,tata sky current residence - tata play recharge
978,food,dinner sugaran kitchen
980,food,milk milk 1lit 
981,transportation,auto current residence to place 1 bus stop highway
982,transportation,travels 2 place 1 to place 2 - novelty tour and travels
985,food,grocery vegetables
986,transportation,train local pass to family
987,transportation,auto 2 current residence to place 0
988,food,snacks idli 4 pcs + kachori 4 pcs
989,household,kirana supermart
991,health,medicine v-wash
992,transportation,travels 2 place 1 to place 2 - novelty tour and travels
993,food,flour mill m d sure 4kg atta
997,food,snacks sweet bread cake 90 + veg puff 2
998,subscription,edtech course 
1001,food,ice cream 4 cups (2 vanilla 2 tutifruity)
1003,subscription,newspaper 
1005,food,milk milk 1lit 
1011,household,toiletries odonil
1012,household,kirana honey small bottle
1013,household,kirana janeyu
1014,household,kirana nariyal
1017,food,milk 1.5 lit milk 
1018,health,medicine 5 meftal spas
1020,transportation,taxi ola cab - domestic airport t1 to current residence
1022,food,snacks 2 chips packets
1024,health,medicine vicks inhaler
1025,transportation,auto market to resort
1026,food,breakfast parle g chota pack
1028,health,medicine strepsils 13 pills
1029,transportation,auto auto : mahal to hotel
1030,food,eating out roof top lounge  (200 french fries + 100 masala tea)+15 gst + 10 tip
1031,household,home decor 2 bedsheets (1500 each)
1032,shopping,clothing jaipuri handprinted maharani saree (1850 two pcs + 1500 1 pc)
1033,food,lunch 180 chicken sandwich + 120 vada pav & samosa
1034,transportation,taxi ola cab - current residence to domestic airport t1
1036,household,kitchen mahanagar gas connection installation
1039,household,appliances selfie stick bluetooth tripod
1040,shopping,grooming shaving
1041,food,grocery 1.5 kg onions
1042,shopping,accessories lens cleaner
1044,food,ice cream baskin robbins
1045,food,lunch 280 chicken dum biryani+ 200 paneer tikka laziz + gst
1046,transportation,auto bkc to kurla station
1047,transportation,taxi ola cab - siddhivinayak to bkc
1048,transportation,taxi dadar west to siddhivinayak
1049,transportation,train 2 place 0 to dadar return
1050,transportation,auto 2 current residence to place 0
1051,shopping,laundry clothes ironing : rs 6 per item
1053,household,furniture foldable wardrobe
1054,household,appliances 2 locks for bags
1055,household,kirana colgate max fresh small
1056,household,kirana dettol sanitizer
1057,subscription,tata sky current residence - tata play recharge
1060,household,kirana sugar 1kg rs.55 + shengdana rs.33
1061,food,snacks 2 bhaji pav + 1 vadapav
1062,household,appliances wifi router tp link
1063,food,milk 1.5 lit milk 
1064,household,appliances steam machine
1065,household,kirana biscuits+ onions
1066,entertainment,navratri ganpati+ navratri vargani
1067,transportation,travels 2 place 2 to place 1 - shree sharma travels
1069,transportation,bus 2 cd to place 1: shivshahi
1070,transportation,auto within city
1071,transportation,bus 2 place 1 to vn
1072,transportation,auto current residence to place 1 bus stop highway
1073,household,kirana dahi (42) + vanilla essance (34)
1074,food,milk milk 1lit 
1078,household,toiletries dettol liquid handwash refill
1079,health,medicine move jel
1081,food,milk milk 1lit 
1084,food,milk half lit  milk
1087,health,medicine vicks vaporub
1088,subscription,newspaper 
1089,household,kirana 
1090,food,breakfast krack jack biscuits
1091,food,lunch 5 chapati
1094,shopping,clothing family's dresses
1095,health,medicine cinarest
1097,health,hospital medical tests - family
1100,subscription,mobile service provider family mobile service provider recharge
1101,food,milk milk 1lit 
1102,subscription,newspaper 
1103,subscription,edtech course 
1104,food,snacks maggie 1 pck
1105,food,milk milk 1lit 
1106,shopping,clothing myntra - tshirt+ denim shorts
1107,health,medicine 4 paracetamol tablets
1112,food,dinner catering service:chicken masala (90)+2 chapati (10)
1113,transportation,auto ola auto - current residence to mcd
1114,food,eggs 4 eggs
1116,food,grocery dahi 2 packets
1117,transportation,travels 2 neeta travels : place a to pune
1118,household,appliances laptop repair
1119,household,appliances laptop repair ( 128gb ssd rs 2200+ 500gb hdd rs.1800 + msoffice+ windows)
1120,food,snacks chicken roll kasha
1121,transportation,train place 0 to place 4 return
1123,food,milk milk 1lit 
1124,health,medicine hospital consultation
1125,transportation,auto ola auto - current residence to hospital place 6
1126,transportation,auto 2 place 0 to current residence
1127,health,medicine hospital consultation
1128,health,hospital hospital consultation
1129,transportation,train 2 place 0 to place 6 return
1130,transportation,auto 2 current residence to place 0
1131,food,dinner non veg overloaded pizza
1132,food,lunch chicken lollypop 4 pcs
1133,household,appliances distilled water refill inverter (rs.100 given by family)
1138,food,snacks garlic bread + periperi masala fries
1139,food,eggs 4 eggs
1140,food,milk milk 1lit 
1141,household,appliances for tata sky installation (100 rs given by family )
1142,household,appliances tata sky stb (1299)+ 1 month recharge (226)+ extra wire 45meters(540)
1143,food,grocery amul butter
1144,food,milk milk 1lit 
1147,food,milk half lit  milk
1148,food,grocery 
1149,food,snacks puri packet of 50 pcs
1150,subscription,mobile service provider annual recharge
1151,food,milk half lit  milk
1152,food,eggs 4 eggs
1153,food,milk half lit  milk
1154,food,beverage thumbs up 250ml
1155,food,water 5 litres can
1156,food,flour mill gehu 3 kg rs21 + bajari 1kg rs 7 + dal 1.5 kg rs15
1157,food,grocery potato 1kg
1158,household,hardware pakad
1159,household,hardware umbrella
1161,food,grocery onion 2.5 kg
1162,transportation,auto 2 place 0 to current residence
1163,shopping,laundry 9 clothes ironing
1164,food,beverage lemon tea
1165,food,lunch 1 dal makhani rice(200)+ 1 chicken tikka rice(220)+chocolate pastry (120)
